row,Cancer,Year,Sex,State,Incident,Incident _Crude_rate_100k,Mortality,Mortality_Crude_rate_100k,Gender,Population
141.0,Melanoma of the skin,2012,Males,Australian Capital Territory,79,43.8,12,6.6,Male,188673
142.0,Melanoma of the skin,2012,Males,Northern Territory,37,31.1,5,3.8,Male,125043
143.0,Melanoma of the skin,2012,Males,,7152,63.2,1039,9.2,Male,11408788
144.0,Melanoma of the skin,2012,Females,New South Wales,1699,46.2,177,4.8,Female,3703154
145.0,Melanoma of the skin,2012,Females,Victoria,988,34.6,104,3.6,Female,2884237
146.0,Melanoma of the skin,2012,Females,Queensland,1430,62.4,105,4.6,Female,2311528
147.0,Melanoma of the skin,2012,Females,Western Australia,451,37.5,39,3.2,Female,1217874
148.0,Melanoma of the skin,2012,Females,South Australia,302,36.1,37,4.4,Female,839394
149.0,Melanoma of the skin,2012,Females,Tasmania,109,42.4,21,8.2,Female,257127
150.0,Melanoma of the skin,2012,Females,Australian Capital Territory,54,29.4,6,3.3,Female,191139
151.0,Melanoma of the skin,2012,Females,Northern Territory,23,21.1,1,n.p.,Female,113685
152.0,Melanoma of the skin,2012,Females,,5081,44.5,490,4.3,Female,11519235
153.0,Melanoma of the skin,2012,Persons,New South Wales,4189,57.4,545,7.5,Person,7353189
154.0,Melanoma of the skin,2012,Persons,Victoria,2280,40.3,314,5.6,Person,5709586
155.0,Melanoma of the skin,2012,Persons,Queensland,3444,75.4,336,7.4,Person,4611304
156.0,Melanoma of the skin,2012,Persons,Western Australia,1145,47.2,151,6.2,Person,2457489
157.0,Melanoma of the skin,2012,Persons,South Australia,695,42.0,101,6.1,Person,1663082
158.0,Melanoma of the skin,2012,Persons,Tasmania,255,49.8,49,9.6,Person,511993
159.0,Melanoma of the skin,2012,Persons,Australian Capital Territory,132,36.6,18,4.9,Person,379812
160.0,Melanoma of the skin,2012,Persons,Northern Territory,60,26.3,6,2.6,Person,238728
161.0,Melanoma of the skin,2012,Persons,,12233,53.8,1529,6.7,Person,22928023
162.0,Melanoma of the skin,2013,Males,New South Wales,2540,69.1,398,10.8,Male,3698220
163.0,Melanoma of the skin,2013,Males,Victoria,1330,46.6,249,8.7,Male,2884387
164.0,Melanoma of the skin,2013,Males,Queensland,2163,93.3,313,13.5,Male,2333762
165.0,Melanoma of the skin,2013,Males,Western Australia,780,62.2,109,8.7,Male,1259941
166.0,Melanoma of the skin,2013,Males,South Australia,437,52.8,70,8.5,Male,830900
167.0,Melanoma of the skin,2013,Males,Tasmania,139,54.6,21,8.2,Male,254878
168.0,Melanoma of the skin,2013,Males,Australian Capital Territory,81,44.0,12,6.4,Male,191691
169.0,Melanoma of the skin,2013,Males,Northern Territory,39,31.8,5,4.3,Male,126921
170.0,Melanoma of the skin,2013,Males,,7523,65.4,1177,10.2,Male,11582448
171.0,Melanoma of the skin,2013,Females,New South Wales,1767,47.4,155,4.2,Female,3756718
172.0,Melanoma of the skin,2013,Females,Victoria,1002,34.4,118,4.0,Female,2948198
173.0,Melanoma of the skin,2013,Females,Queensland,1530,65.6,110,4.7,Female,2351677
174.0,Melanoma of the skin,2013,Females,Western Australia,532,43.2,51,4.1,Female,1242247
175.0,Melanoma of the skin,2013,Females,South Australia,284,33.7,36,4.3,Female,847152
176.0,Melanoma of the skin,2013,Females,Tasmania,136,52.8,12,4.7,Female,258137
177.0,Melanoma of the skin,2013,Females,Australian Capital Territory,54,29.2,5,2.9,Female,194627
178.0,Melanoma of the skin,2013,Females,Northern Territory,24,22.0,2,n.p.,Female,115450
179.0,Melanoma of the skin,2013,Females,,5339,45.9,489,4.2,Female,11715329
180.0,Melanoma of the skin,2013,Persons,New South Wales,4307,58.2,553,7.5,Person,7454938
181.0,Melanoma of the skin,2013,Persons,Victoria,2332,40.4,367,6.4,Person,5832585
182.0,Melanoma of the skin,2013,Persons,Queensland,3693,79.4,423,9.1,Person,4685439
183.0,Melanoma of the skin,2013,Persons,Western Australia,1312,52.8,160,6.4,Person,2502188
184.0,Melanoma of the skin,2013,Persons,South Australia,721,43.1,106,6.3,Person,1678052
185.0,Melanoma of the skin,2013,Persons,Tasmania,275,53.7,33,6.4,Person,513015
186.0,Melanoma of the skin,2013,Persons,Australian Capital Territory,135,36.5,17,4.7,Person,386318
187.0,Melanoma of the skin,2013,Persons,Northern Territory,63,27.1,7,2.9,Person,242304
188.0,Melanoma of the skin,2013,Persons,,12862,55.6,1666,7.2,Person,23297777
