Cancer,RD_stage,Sex,Age,Count,Rate_100k
Melanoma of the skin,Stage unknown,Females,85+,7,2.6
Melanoma of the skin,Stage unknown,Females,Total,136, 
Melanoma of the skin,I,Persons,00–04,,
Melanoma of the skin,I,Persons,05–09,,
Melanoma of the skin,I,Persons,10–14,5,0.4
Melanoma of the skin,I,Persons,15–19,34,2.3
Melanoma of the skin,I,Persons,20–24,85,5.3
Melanoma of the skin,I,Persons,25–29,181,10.9
Melanoma of the skin,I,Persons,30–34,244,15.9
Melanoma of the skin,I,Persons,35–39,395,25.1
Melanoma of the skin,I,Persons,40–44,533,33.6
Melanoma of the skin,I,Persons,45–49,640,41.5
Melanoma of the skin,I,Persons,50–54,743,49.7
Melanoma of the skin,I,Persons,55–59,928,69.5
Melanoma of the skin,I,Persons,60–64,"1,166",95.1
Melanoma of the skin,I,Persons,65–69,"1,070",112.1
Melanoma of the skin,I,Persons,70–74,975,134.0
Melanoma of the skin,I,Persons,75–79,687,123.0
Melanoma of the skin,I,Persons,80–84,602,135.6
Melanoma of the skin,I,Persons,85+,442,109.5
Melanoma of the skin,I,Persons,Total,"8,730", 
Melanoma of the skin,II,Persons,00–04,1,0.1
Melanoma of the skin,II,Persons,05–09,1,0.1
Melanoma of the skin,II,Persons,10–14,1,0.1
Melanoma of the skin,II,Persons,15–19,,
Melanoma of the skin,II,Persons,20–24,4,0.2
Melanoma of the skin,II,Persons,25–29,10,0.6
Melanoma of the skin,II,Persons,30–34,13,0.8
Melanoma of the skin,II,Persons,35–39,19,1.2
Melanoma of the skin,II,Persons,40–44,35,2.2
Melanoma of the skin,II,Persons,45–49,68,4.4
Melanoma of the skin,II,Persons,50–54,77,5.2
Melanoma of the skin,II,Persons,55–59,103,7.7
Melanoma of the skin,II,Persons,60–64,165,13.5
Melanoma of the skin,II,Persons,65–69,166,17.4
Melanoma of the skin,II,Persons,70–74,179,24.6
Melanoma of the skin,II,Persons,75–79,175,31.3
Melanoma of the skin,II,Persons,80–84,251,56.5
Melanoma of the skin,II,Persons,85+,309,76.6
Melanoma of the skin,II,Persons,Total,"1,577", 
Melanoma of the skin,III,Persons,00–04,,
Melanoma of the skin,III,Persons,05–09,1,0.1
Melanoma of the skin,III,Persons,10–14,1,0.1
Melanoma of the skin,III,Persons,15–19,,
Melanoma of the skin,III,Persons,20–24,6,0.4
Melanoma of the skin,III,Persons,25–29,5,0.3
Melanoma of the skin,III,Persons,30–34,8,0.5
Melanoma of the skin,III,Persons,35–39,17,1.1
Melanoma of the skin,III,Persons,40–44,14,0.9
Melanoma of the skin,III,Persons,45–49,19,1.2
Melanoma of the skin,III,Persons,50–54,33,2.2
Melanoma of the skin,III,Persons,55–59,34,2.5
Melanoma of the skin,III,Persons,60–64,47,3.8
Melanoma of the skin,III,Persons,65–69,34,3.6
Melanoma of the skin,III,Persons,70–74,37,5.1
Melanoma of the skin,III,Persons,75–79,23,4.1
Melanoma of the skin,III,Persons,80–84,32,7.2
Melanoma of the skin,III,Persons,85+,20,5.0
Melanoma of the skin,III,Persons,Total,331, 
Melanoma of the skin,IV,Persons,00–04,,
Melanoma of the skin,IV,Persons,05–09,,
Melanoma of the skin,IV,Persons,10–14,,
Melanoma of the skin,IV,Persons,15–19,1,0.1
Melanoma of the skin,IV,Persons,20–24,3,0.2
Melanoma of the skin,IV,Persons,25–29,2,0.1
Melanoma of the skin,IV,Persons,30–34,1,0.1
Melanoma of the skin,IV,Persons,35–39,6,0.4
Melanoma of the skin,IV,Persons,40–44,11,0.7
Melanoma of the skin,IV,Persons,45–49,15,1.0
Melanoma of the skin,IV,Persons,50–54,23,1.5
Melanoma of the skin,IV,Persons,55–59,14,1.0
Melanoma of the skin,IV,Persons,60–64,34,2.8
Melanoma of the skin,IV,Persons,65–69,28,2.9
Melanoma of the skin,IV,Persons,70–74,23,3.2
Melanoma of the skin,IV,Persons,75–79,26,4.7
Melanoma of the skin,IV,Persons,80–84,19,4.3
Melanoma of the skin,IV,Persons,85+,27,6.7
Melanoma of the skin,IV,Persons,Total,233, 
Melanoma of the skin,Stage unknown,Persons,00–04,,
Melanoma of the skin,Stage unknown,Persons,05–09,1,0.1
Melanoma of the skin,Stage unknown,Persons,10–14,,
Melanoma of the skin,Stage unknown,Persons,15–19,3,0.2
Melanoma of the skin,Stage unknown,Persons,20–24,4,0.2
Melanoma of the skin,Stage unknown,Persons,25–29,6,0.4
Melanoma of the skin,Stage unknown,Persons,30–34,5,0.3
Melanoma of the skin,Stage unknown,Persons,35–39,19,1.2
Melanoma of the skin,Stage unknown,Persons,40–44,18,1.1
Melanoma of the skin,Stage unknown,Persons,45–49,23,1.5
Melanoma of the skin,Stage unknown,Persons,50–54,30,2.0
Melanoma of the skin,Stage unknown,Persons,55–59,32,2.4
Melanoma of the skin,Stage unknown,Persons,60–64,42,3.4
Melanoma of the skin,Stage unknown,Persons,65–69,51,5.3
Melanoma of the skin,Stage unknown,Persons,70–74,25,3.4
Melanoma of the skin,Stage unknown,Persons,75–79,23,4.1
Melanoma of the skin,Stage unknown,Persons,80–84,24,5.4
Melanoma of the skin,Stage unknown,Persons,85+,22,5.5
Melanoma of the skin,Stage unknown,Persons,Total,328, 
