Year,Sex,Incident,Mortality,Population,State
2015,Males,1533,215,3011376,Victoria
2015,Males,2192,221,2385347,Queensland
2015,Males,895,102,1278792,Western Australia
2015,Males,471,74,843702,South Australia
2015,Males,166,18,255551,Tasmania
2015,Males,84,12,197696,Australian Capital Territory
2015,Males,48,6,127914,Northern Territory
2015,Males,8004,1039,11904308,
2015,Females,1780,176,3868112,New South Wales
2015,Females,1162,111,3081673,Victoria
2015,Females,1561,97,2419586,Queensland
2015,Females,669,54,1268953,Western Australia
2015,Females,295,24,862235,South Australia
2015,Females,136,5,260242,Tasmania
2015,Females,70,6,201178,Australian Capital Territory
2015,Females,27,2,117123,Northern Territory
2015,Females,5714,475,12080273,
2015,Persons,4361,562,7671401,New South Wales
2015,Persons,2695,326,6093049,Victoria
2015,Persons,3753,318,4804933,Queensland
2015,Persons,1564,156,2547745,Western Australia
2015,Persons,766,98,1705937,South Australia
2015,Persons,302,23,515697,Tasmania
2015,Persons,153,18,398874,Australian Capital Territory
2015,Persons,75,8,244692,Northern Territory
2015,Persons,13718,1514,23984581,
2016,Males,2858,288,3865361,New South Wales
2016,Males,1569,178,3082379,Victoria
2016,Males,2331,213,2421215,Queensland
2016,Males,912,91,1288303,Western Australia
2016,Males,463,56,849914,South Australia
2016,Males,185,23,258456,Tasmania
2016,Males,92,11,202502,Australian Capital Territory
2016,Males,54,6,128021,Northern Territory
2016,Males,8491,858,12098143,
2016,Females,1927,131,3930264,New South Wales
2016,Females,1251,85,3153402,Victoria
2016,Females,1633,88,2461724,Queensland
2016,Females,624,36,1281303,Western Australia
2016,Females,341,39,869666,South Australia
2016,Females,148,7,263525,Tasmania
2016,Females,75,7,206376,Australian Capital Territory
2016,Females,28,2,118539,Northern Territory
2016,Females,6034,396,12286921,
2016,Persons,4785,419,7795625,New South Wales
2016,Persons,2820,263,6235781,Victoria
2016,Persons,3964,301,4882939,Queensland
2016,Persons,1536,127,2569606,Western Australia
2016,Persons,804,95,1719580,South Australia
2016,Persons,333,30,521981,Tasmania
2016,Persons,167,18,408878,Australian Capital Territory
2016,Persons,82,8,246443,Northern Territory
2016,Persons,14525,1254,24385064,
2017,Males,2975,319,3921301,New South Wales
2017,Males,1673,162,3144429,Victoria
2017,Males,2477,241,2458389,Queensland
2017,Males,867,89,1302076,Western Australia
2017,Males,467,59,857807,South Australia
2017,Males,181,23,263305,Tasmania
2017,Males,107,10,207866,Australian Capital Territory
2017,Males,52,5,128104,Northern Territory
2017,Males,8833,908,12284961,
2017,Females,1957,186,3979645,New South Wales
2017,Females,1310,111,3213781,Victoria
2017,Females,1671,106,2502576,Queensland
2017,Females,586,46,1297852,Western Australia
2017,Females,332,25,877847,South Australia
2017,Females,158,7,268256,Tasmania
2017,Females,77,8,212360,Australian Capital Territory
2017,Females,29,2,119647,Northern Territory
2017,Females,6129,495,12474057,
2017,Persons,4932,505,7900946,New South Wales
2017,Persons,2983,273,6358210,Victoria
