Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Estonia,0,0,0,0,0,0.006,0.005,0.008,0.012,0.017,0.06,0.0294,0.034,0.0449,0.061,0.1084,0.1278,0.149,0.199,0.5411,1.0461,1.1812,1.4773,1.2529,1.4301,1.5909,1.5882,1.872,2.0138,2.1425,2.9705,2.8645,2.883,2.87622162
Europe,665.778568,678.53064,697.759244,715.768655,729.406463,735.703283,693.353501,724.347044,756.856444,775.716775,814.36686,833.809368,780.232035,754.43082,830.511872,857.374749,867.326124,914.829836,964.108698,997.622333,1076.20692,1055.71085,1174.31384,1281.79719,1313.40051,1348.36359,1387.19974,1402.77593,1497.88294,1528.8496,1671.66665,1701.79115,1676.33531,1841.62449
Europe (EI),522.075597,533.156639,551.769974,575.485594,584.116403,595.218243,579.705802,607.028006,640.833945,650.059615,681.336289,684.10913,651.815965,633.916923,700.654677,724.016549,738.014764,773.700576,833.182588,860.957313,964.767593,950.053333,1075.39554,1169.14784,1191.61322,1262.81028,1291.43465,1302.97552,1402.99713,1464.10691,1582.75082,1598.85269,1607.79565,1769.32747
European Union (27),302.804157,316.774856,330.710864,341.032027,351.800098,353.780405,353.207993,369.620142,387.134018,388.689137,412.282349,439.317292,394.910968,399.717198,442.803442,443.882685,468.376507,497.654899,542.469302,571.840191,653.940408,643.995187,727.309815,804.65755,833.57686,854.21185,869.433234,872.92752,939.06349,972.12237,1057.26695,1075.28063,1079.50343,1211.6682
Finland,16.015455,18.19652,20.059594,19.438672,18.259751,19.544837,17.760982,20.151208,24.408292,21.193417,23.378601,21.548567,19.830679,19.065383,25.631877,23.468789,22.466651,24.324302,27.781233,21.700953,24.195264,24.176565,28.559187,25.629667,26.270619,30.526724,30.411957,31.476711,32.140222,31.884461,35.92734,38.174507,38.66659,41.8553408
France,55.7792715,59.7044896,71.0919776,66.8730852,80.9575825,75.4547542,68.4770805,66.4535352,64.7695857,75.4084919,69.4022233,77.7391605,64.2061035,63.0557673,63.940448,56.3245008,62.3379061,65.908,73.826,69.658,78.196,64.758379,83.662755,97.727769,92.574703,90.2847323,97.1093783,90.857312,111.418657,111.068975,123.163002,119.749409,111.049946,139.786989
Germany,18.842,17.462,20.474,21.226,23.014,25.11,22.999,24.226,26.224,29.173,37.8,39,46.1,46.669849,57.957236,63.427401,72.555265,89.429967,94.369205,96.070196,105.415076,124.428298,143.407863,151.94828,161.918147,188.136496,189.129508,215.684452,222.93557,241.16962,251.08132,233.948908,254.646768,272.449
Greece,1.771,3.101,2.212,2.33,2.637,3.564,4.386,3.918,3.787,4.755,4.144,2.932,3.577,5.892,5.917781,6.406422,7.679713,4.594842,5.75088,8.16313,10.536438,8.143518,10.140962,14.350567,12.178443,14.850275,14.89248,13.801039,16.148429,16.096482,17.554199,22.136603,22.447767,24.1623057
High-income countries,1276.68926,1300.11124,1290.41309,1358.00339,1327.61639,1409.29849,1438.53812,1482.86978,1459.88167,1477.46052,1495.84049,1417.87785,1457.22621,1449.7841,1501.31314,1553.72422,1599.59191,1617.984,1716.08233,1768.45182,1860.93189,1982.21446,2089.48017,2225.44511,2302.0235,2398.05672,2504.39915,2635.32433,2762.50421,2838.88728,3063.64122,3154.05974,3312.57046,3477.04644
Hong Kong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000694,0.000865,0.000807,0.001099,0.041041,0.046868,0.045053,0.039836,0.0469,0.061811,0.069492,0.071694,0.074268,0.091605,0.143313,0.236468,0.34611269,0.36303328
Hungary,0.195,0.218,0.204,0.205,0.206,0.219,0.257,0.269,0.215,0.246,0.243,0.257,0.237,0.336,0.936,1.87,1.493,1.883,2.357,2.895,3.013,2.708,2.647181,2.787905,3.15054,3.229,3.258,3.48,3.766,4.69,5.529,6.915,7.662,8.916244
Iceland,4.43661,4.420725,4.534067,4.71527,4.76766,4.965364,5.10544828,5.57437742,6.26823405,7.177514,7.673151,8.023458,8.401102,8.4870056,8.6142758,8.6743158,9.921595,11.9743877,16.46537,16.8324298,17.0574045,17.2083099,17.546035,18.1133202,18.1197652,18.7946452,18.5460858,19.236448,19.826993,19.4861736,19.1242346,19.611687,20.1174636,20.2340228
India,66.4649534,74.1268653,70.2686069,71.0793195,80.7836753,76.9821511,70.6981292,72.1867333,86.0103184,85.3875894,80.2655135,76.1882251,72.782922,74.6293713,109.193975,107.464318,127.54883,141.7579,138.91222,134.32603,142.608495,173.6209,165.243975,187.90142,202.03619,203.207632,208.207255,234.905346,263.61972,303.159756,315.67,332.233223,378.705716,381.964583
Indonesia,7.61986,8.46063,10.73122,9.98305,9.58685,10.50567,11.16724,8.594,13.65,14.32051,14.8884,17.6896,16.1763,15.4009,16.3396,17.34,16.297,18.32502,19.865215,20.714165,26.86467,21.99725,22.4874,26.5059,25.4298,24.267685,29.94668,32.01377,48.36491,48.04478,52.90147,56.20112,65.39273,65.19437
Iran,7.381,5.607,9.204,10.533,6.896,8.323,8.814,5.941,7.488,5.178,3.8175,4.1557,8.0423,9.6156,11.9793,14.5189,18.6344,18.1,7.634,6.9512,10.4319,10.9187,12.8083,14.863,14.7513,13.4108,15.6048,17.660245,10.834256,35.108159,24.93721,15.5638598,15.96961,24.7733191
Iraq,4.650264,2.145184,5.219066,6.161732,6.247761,7.119707,6.489375,6.608055,6.19756,3.55905,3.196577,3.701006,4.56004,4.7559,5.749923,4.893819,4.99076,4.56631,2.932036,2.83021,3.615072,3.399509,4.396909,4.655021,2.892502,2.603442,3.428539,2.233388,2.194247,5.339809,4.53920462,3.722326,3.07290314,3.81005334
Ireland,0.697,0.746,0.8220009,0.7800027,0.93900342,0.72900288,0.76300738,0.80902358,1.17004571,1.12405003,1.18506102,1.02707759,1.38108442,1.13809718,1.39413752,1.87365554,2.47506202,2.79533694,3.5876915,4.10926204,3.72992911,5.42442888,5.25352148,5.62348004,6.38683592,7.8585289,7.512016,8.880767,10.200052,11.794115,13.459019,11.602166,13.071269,13.8776669
Israel,0.003,0.006,0.029,0.026,0.023,0.025,0.024,0.025,0.025,0.033,0.031,0.02,0.032,0.043,0.039,0.039,0.025,0.024,0.032,0.099,0.17,0.301,0.484,0.5616,0.9566,1.3176,1.8129,1.823,2.0163,3.3049,4.3666,5.5208,6.4001,8.07989957
Italy,34.9029192,45.5388788,45.7669192,45.2228384,48.2397172,41.4576364,46.2216667,46.206,46.477,51.315,50.88,54.347,48.316,46.866,53.871,48.439,50.635,47.715,58.163,69.2567,76.9646,82.9618,92.2224,112.0089,120.6784,108.9043,108.0222,103.89774,114.453,115.8849,116.996823,116.3391,100.4661,113.99148
Japan,98.236126,106.067857,91.906617,104.162832,77.9644936,93.1286056,92.4771062,102.97489,105.401945,100.533199,101.032144,98.3174792,98.64693,112.13442,112.432077,102.787588,114.46564,101.760208,101.996346,97.2647848,118.236912,113.490145,111.329292,120.55022,133.898398,154.013267,151.763182,163.31058,175.334604,176.400923,193.031151,208.138221,213.184518,223.547205
Kazakhstan,7.366,7.2,6.866,7.629,9.179,8.331,7.331,6.499,6.141,6.132,7.5310507,8.081139,8.889543,8.62454,8.056666,7.85597,7.7680697,8.171407,7.459829,6.8791046,8.022023,7.8834697,7.6399517,7.7360991,8.2773352,9.4475603,11.9860099,11.6447384,10.9053431,11.0969804,11.932304,12.5867663,13.2884417,14.4084204
Kuwait,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000182,0.003278,0.00509,0.048814,0.053214,0.055174,0.06218,0.06346538,0.2140706,0.17909687,0.1643015
Latvia,4.496,3.275,2.521,2.876,3.305,2.937,1.861,2.955,4.318,2.759,2.824,2.839,2.485,2.338,3.196,3.415,2.787,2.828,3.212,3.553,3.635,3.0782,4.0962,3.5332,2.7642,2.7842,3.482382,5.4617,3.498595,3.19211,3.649529,3.717823,3.78263,4.73893085
Lithuania,0.414,0.338,0.311,0.393,0.452,0.373,0.326,0.295,0.417,0.414,0.3393,0.3275,0.3572,0.3321,0.4277,0.4595,0.4358,0.5807,0.602,0.684,0.911,1.112,1.1827,1.5257,1.5101,1.6797,2.0956,2.5378,2.2056,2.4691,2.5751,2.6217,3.0272,3.79865603
Lower-middle-income countries,140.756909,148.367521,145.608262,155.897299,166.575675,164.023915,162.605289,155.265587,183.057589,183.79188,172.754752,173.174688,172.267698,182.195715,222.541676,225.955403,255.622978,270.829848,259.409597,261.360576,276.108662,316.643103,302.706556,360.886384,372.456262,368.718555,389.323423,441.493548,466.882667,527.14737,552.959469,592.133898,658.493532,667.555497
Luxembourg,0.082505,0.097976,0.08177,0.081712,0.10108,0.107493,0.075448,0.102919,0.143068,0.12185,0.170639,0.167691,0.151284,0.141138,0.195231,0.209051,0.245628,0.264556,0.282382,0.267812,0.268032,0.245773,0.308056,0.370171,0.39763,0.430786,0.457203,0.600388,0.68325,0.796712,0.976288,0.989844,1.011287,1.06164357
Malaysia,4.026689,4.4493155,4.286,4.853,6.483,6.218,5.184,4.173,4.457,7.552,7.564903,6.640094,5.8194,5.5065,6.14936,6.5995,6.946964,6.716773,8.603761,8.283368,7.6239545,9.593535,10.7596624,13.04329,14.308,14.948,21.094,27.941,28.308,28.791,30.592,33.740509,35.769924,35.978193
Mexico,29.606944,28.4607754,33.183217,33.1596906,26.4998454,34.0251105,37.532832,32.2633434,30.753531,38.7963214,39.459525,34.708827,30.96165,26.8289178,32.467228,35.874965,37.9888607,35.846587,47.394065,34.8924278,46.4662901,45.9232154,43.059792,40.121745,53.6369061,48.2360865,48.9777561,50.7772067,55.242452,57.5063017,69.3652804,82.093259,83.12626,76.2935157
Middle Africa (EI),10.291,9.984,10.829,10.221,9.741,10.84,10.874,10.145,9.932,10.336,11.376943,11.635092,11.747392,12.161149,14.0913,14.502442,16.333242,15.245442,16.316442,16.238842,16.90332,17.203591,17.015811,19.440927,20.869302,21.090994,22.143684,25.055633,28.213685,29.746979,32.418967,32.92966,33.3421513,34.430359
Middle East (EI),15.274264,11.010184,17.828066,20.047732,16.55076,18.653706,18.699376,15.930055,17.21356,11.83905,10.764677,11.669496,16.873181,18.533183,23.149761,24.009102,28.399723,26.870912,13.920042,12.441785,17.7505755,18.81926,22.2477196,24.572498,21.7195205,19.086641,23.872616,25.58862,20.5100341,53.5399764,46.6379996,40.9206758,46.9695809,68.9092019
